Age,Academic Performance (GPA),Study Hours Per Week,Social_Media_Usage_per_week,Sleep Duration (Hours per night),Physical Exercise (Hours per week),Family Support,Financial Stress,Peer Pressure,Relationship Stress,Counseling Attendance,Diet Quality,Cognitive Distortions,Family Mental Health History,Medical Condition,Substance Use,Gender_Female,Gender_Male,Gender_Other,Stress_Ratio,Stress Level Category
30,3,59,49,11,3,5,4,5,3,0,3,2,1,0,1,0,0,0,0.7999984000032001,Medium
20,3,33,21,6,10,1,1,5,5,1,5,4,0,1,3,0,0,1,0.9999900000999989,Medium
26,2,11,42,11,9,5,1,3,4,0,1,5,1,0,2,0,0,1,0.19999960000080003,Low
18,3,57,49,5,2,3,1,5,5,0,3,2,1,1,1,0,1,0,0.3333322222259259,Low
23,1,18,21,7,9,4,5,4,5,0,1,1,1,0,3,0,0,1,1.2499968750078125,Medium
27,4,51,28,8,0,1,3,1,4,0,2,4,1,0,1,0,0,0,2.9999700002999967,High
22,4,44,28,4,10,2,3,3,5,1,3,1,0,1,5,0,0,1,1.4999925000374998,Medium
28,1,28,0,10,9,5,3,1,3,1,4,1,1,1,2,0,0,1,0.5999988000024,High
23,0,43,0,10,0,1,3,2,4,1,2,3,1,0,4,0,0,1,2.9999700002999967,Low
29,3,-15,49,12,10,4,5,4,3,1,2,5,1,0,1,0,0,0,1.2499968750078125,Low
24,0,43,7,5,5,4,3,5,1,1,4,5,0,0,2,0,0,0,0.7499981250046875,Low
26,0,26,28,4,5,3,5,3,1,1,1,5,1,0,2,0,0,1,1.6666611111296294,High
20,1,-2,35,10,4,2,2,1,5,1,1,5,0,1,5,0,0,0,0.9999950000249999,High
20,4,12,14,5,6,1,3,5,4,1,1,4,1,1,3,0,0,1,2.9999700002999967,High
19,2,9,7,10,2,1,5,5,4,1,2,2,0,0,2,0,0,0,4.999950000499995,High
21,0,1,56,6,4,3,1,4,5,0,2,3,0,0,2,0,0,0,0.3333322222259259,High
19,3,2,42,8,6,1,4,3,2,0,4,1,1,1,2,0,0,0,3.9999600003999958,Low
19,2,40,7,4,7,4,3,3,3,1,4,1,0,1,4,1,0,0,0.7499981250046875,High
19,2,59,35,8,9,1,4,3,3,1,3,2,1,1,4,0,0,1,3.9999600003999958,Medium
27,2,22,0,8,5,5,4,2,2,0,4,3,1,0,5,0,1,0,0.7999984000032001,Medium
24,2,32,42,5,2,2,5,4,3,1,5,4,0,0,4,0,0,1,2.4999875000625,Low
30,2,37,42,10,2,2,5,3,5,0,4,2,0,1,1,0,1,0,2.4999875000625,Low
18,2,40,49,11,7,4,5,4,5,0,4,4,0,1,2,0,0,0,1.2499968750078125,Low
29,0,30,42,12,2,1,5,5,2,1,3,5,0,1,2,0,0,0,4.999950000499995,Low
23,3,27,14,9,7,5,3,2,2,0,1,2,0,0,1,0,0,1,0.5999988000024,Low
19,3,17,14,8,6,5,2,3,1,1,4,1,1,0,4,1,0,0,0.39999920000160005,High
29,1,51,0,11,10,2,4,2,3,0,3,1,0,0,1,0,1,0,1.9999900000499997,High
29,4,12,56,12,6,5,1,5,2,0,5,4,0,0,5,0,0,0,0.19999960000080003,High
28,4,29,56,11,0,4,2,5,3,0,3,4,1,0,5,0,0,1,0.49999875000312505,Medium
26,4,38,0,7,1,2,1,3,2,0,1,1,0,1,4,0,0,0,0.49999750001249993,Medium
20,3,26,35,8,3,5,1,5,4,1,2,4,1,0,2,0,0,0,0.19999960000080003,Medium
21,1,47,56,9,6,4,3,3,2,1,3,2,0,1,1,0,0,1,0.7499981250046875,High
23,1,27,14,11,10,2,2,4,4,0,1,5,1,0,1,0,0,1,0.9999950000249999,Low
18,4,27,56,6,5,5,2,5,3,1,1,2,0,0,3,0,1,0,0.39999920000160005,High
22,3,36,28,6,9,4,1,2,5,1,5,5,0,1,3,0,0,0,0.24999937500156252,Low
26,4,48,49,6,6,4,3,3,4,1,1,4,1,0,5,0,1,0,0.7499981250046875,High
18,4,28,21,9,9,4,1,5,2,0,4,5,0,0,4,0,0,1,0.24999937500156252,High
20,0,49,21,9,1,4,2,5,5,0,1,5,1,0,2,0,0,0,0.49999875000312505,High
23,3,72,14,8,1,4,2,3,4,0,4,2,0,1,2,0,0,0,0.49999875000312505,Low
27,2,20,14,11,5,1,1,1,5,0,3,3,1,1,4,0,0,1,0.9999900000999989,Low
27,2,13,56,6,0,4,2,5,3,1,3,2,0,1,4,1,0,0,0.49999875000312505,Medium
20,2,44,49,9,0,1,5,5,3,1,4,2,1,0,5,0,0,0,4.999950000499995,High
25,4,33,28,4,5,5,3,3,5,0,4,1,0,1,1,0,0,0,0.5999988000024,High
28,2,12,0,7,5,1,3,2,5,1,4,3,0,1,2,0,0,0,2.9999700002999967,Medium
21,1,54,7,10,1,3,4,2,5,0,1,4,1,0,4,0,0,1,1.3333288889037036,Medium
21,3,46,7,11,7,5,1,3,3,0,5,1,0,1,1,0,0,0,0.19999960000080003,Low
26,4,26,0,9,5,2,4,5,1,0,4,2,1,0,5,0,0,1,1.9999900000499997,Low
25,4,37,21,12,10,5,2,2,3,0,1,2,1,0,3,1,0,0,0.39999920000160005,High
25,1,50,42,4,9,1,2,1,2,0,4,2,1,1,4,0,0,0,1.9999800001999979,Low
28,1,-20,0,12,2,1,2,3,4,0,1,5,1,1,4,0,0,0,1.9999800001999979,High
19,1,34,56,7,8,4,2,4,4,0,3,1,0,0,2,0,0,1,0.49999875000312505,Low
24,4,43,42,5,4,5,5,2,4,1,5,1,0,0,3,0,0,0,0.9999980000040001,Medium
30,2,27,0,7,0,1,1,4,4,0,5,4,0,1,3,0,0,0,0.9999900000999989,Medium
25,2,62,21,4,2,4,4,5,5,0,1,4,0,1,3,0,0,1,0.9999975000062501,Medium
21,0,34,0,4,3,3,1,4,4,0,3,4,0,0,1,0,0,1,0.3333322222259259,Medium
22,2,74,42,5,3,5,2,1,4,0,2,1,1,0,5,0,0,1,0.39999920000160005,High
28,2,54,49,9,10,3,2,1,1,0,2,1,1,0,3,0,1,0,0.6666644444518518,High
30,2,33,21,7,10,4,4,4,2,1,4,2,1,0,5,0,1,0,0.9999975000062501,Low
20,4,45,56,12,3,3,5,5,5,1,1,2,1,0,4,0,0,1,1.6666611111296294,High
21,3,30,14,4,2,2,3,5,1,0,3,1,1,0,2,0,1,0,1.4999925000374998,Medium
27,4,23,56,10,9,2,5,5,5,0,1,2,1,1,5,0,0,1,2.4999875000625,Medium
20,3,25,21,10,4,1,4,1,3,1,4,5,1,1,1,0,0,1,3.9999600003999958,Medium
20,4,5,0,5,7,2,2,1,4,1,5,4,0,1,2,0,0,1,0.9999950000249999,High
21,4,9,21,7,10,1,3,1,1,0,4,1,0,1,5,0,0,0,2.9999700002999967,High
29,0,47,28,4,8,1,4,4,4,1,1,2,0,0,3,0,0,1,3.9999600003999958,High
29,2,23,7,12,8,2,3,5,2,0,1,3,1,0,5,0,1,0,1.4999925000374998,High
18,2,53,28,4,6,3,4,1,2,1,4,1,1,1,4,0,0,0,1.3333288889037036,High
21,1,28,49,7,0,3,5,1,4,0,1,3,0,1,5,0,0,0,1.6666611111296294,Medium
28,3,43,49,8,7,5,5,2,1,1,2,2,0,1,4,0,1,0,0.9999980000040001,High
22,1,37,28,5,5,2,1,4,1,1,4,4,1,1,3,0,0,0,0.49999750001249993,Medium
22,4,30,28,10,7,1,3,5,1,1,3,5,0,0,5,0,0,0,2.9999700002999967,High
27,0,18,7,7,5,5,1,3,2,1,1,4,1,0,2,0,1,0,0.19999960000080003,Low
28,4,33,0,4,5,4,2,2,5,0,4,5,0,0,5,0,0,0,0.49999875000312505,Low
28,1,31,7,11,3,2,3,2,4,1,3,2,0,0,2,1,0,0,1.4999925000374998,Low
27,3,30,21,6,9,3,3,2,4,1,3,2,1,0,1,0,0,0,0.9999966666777778,High
19,4,15,42,4,4,3,3,3,4,0,5,5,0,1,3,0,1,0,0.9999966666777778,High
28,0,16,28,7,1,4,3,5,2,1,4,1,0,1,2,0,1,0,0.7499981250046875,Medium
22,2,33,7,4,2,5,5,4,2,0,4,2,0,0,2,0,0,0,0.9999980000040001,Low
22,0,60,7,10,5,1,3,4,4,0,3,5,1,1,3,0,0,1,2.9999700002999967,High
22,4,1,49,6,8,2,2,1,2,0,3,3,1,1,3,0,0,1,0.9999950000249999,High
26,3,37,21,5,10,4,3,4,3,1,1,4,1,1,5,0,1,0,0.7499981250046875,Medium
27,1,38,49,9,2,5,4,3,2,1,2,2,1,0,3,0,0,1,0.7999984000032001,Low
25,0,28,49,4,9,3,5,3,3,1,2,5,0,1,2,0,0,1,1.6666611111296294,Medium
28,1,37,7,6,4,2,4,4,1,1,3,3,0,0,1,0,0,0,1.9999900000499997,High
30,4,23,14,10,6,3,5,5,5,0,3,4,0,1,2,0,0,0,1.6666611111296294,High
24,3,33,49,10,7,1,5,3,3,1,5,3,1,0,3,1,0,0,4.999950000499995,Medium
19,2,41,28,7,9,2,3,4,1,0,3,1,0,1,3,0,0,1,1.4999925000374998,High
21,2,28,14,8,6,4,4,3,3,0,2,4,0,1,2,0,0,0,0.9999975000062501,Low
21,3,37,0,9,3,5,3,4,5,0,2,1,1,0,1,0,0,1,0.5999988000024,Medium
23,4,-8,28,5,10,5,1,1,1,1,4,4,1,0,2,0,0,0,0.19999960000080003,High
19,4,38,28,6,2,2,3,5,5,1,4,5,1,1,4,0,0,1,1.4999925000374998,High
22,1,60,7,9,9,5,2,5,4,1,1,3,0,0,1,0,0,1,0.39999920000160005,Medium
23,1,5,21,4,0,1,4,2,5,1,5,3,0,1,4,0,0,0,3.9999600003999958,High
25,0,26,35,5,9,3,5,5,3,0,5,4,1,1,2,0,0,1,1.6666611111296294,Medium
19,3,72,14,6,5,3,5,4,3,1,1,5,1,1,5,0,1,0,1.6666611111296294,Low
29,4,23,28,10,0,4,1,1,4,1,2,4,1,1,3,0,0,1,0.24999937500156252,High
19,1,14,49,7,4,2,1,3,2,1,2,3,1,0,5,1,0,0,0.49999750001249993,Low
20,0,25,42,10,8,5,2,3,5,0,5,4,1,1,5,0,0,1,0.39999920000160005,Low
20,4,53,0,9,1,1,5,3,1,0,5,5,0,1,2,0,1,0,4.999950000499995,High
29,1,33,56,8,9,4,1,4,5,1,5,2,0,1,4,0,0,1,0.24999937500156252,High
18,2,-8,21,6,2,2,3,5,5,0,1,1,0,1,3,0,0,1,1.4999925000374998,Medium
30,0,26,7,11,9,3,5,5,3,0,3,5,0,0,1,0,0,0,1.6666611111296294,Low
20,0,7,56,4,8,2,4,1,2,0,2,2,1,1,1,0,0,0,1.9999900000499997,High
20,4,20,35,10,8,3,3,4,4,1,2,3,1,0,2,0,0,0,0.9999966666777778,Medium
24,3,4,56,8,1,1,3,5,2,0,3,2,1,0,2,1,0,0,2.9999700002999967,High
30,4,33,21,7,10,2,1,2,1,1,4,3,1,1,4,0,0,1,0.49999750001249993,High
21,1,-2,14,7,6,1,1,3,1,1,3,3,0,0,1,0,0,0,0.9999900000999989,Medium
24,0,40,28,5,0,5,4,3,4,1,3,1,0,1,3,0,0,1,0.7999984000032001,High
25,2,-5,0,8,9,2,2,3,5,1,1,3,0,0,5,0,1,0,0.9999950000249999,High
24,0,6,42,12,8,2,3,2,5,0,3,3,0,1,4,0,0,0,1.4999925000374998,Low
21,1,40,35,11,1,3,1,4,4,0,2,1,1,0,5,1,0,0,0.3333322222259259,Medium
26,4,46,0,9,6,3,1,3,2,0,1,2,0,1,3,0,0,0,0.3333322222259259,Low
22,3,27,35,9,9,4,4,3,1,0,3,2,1,1,5,0,0,1,0.9999975000062501,High
23,0,13,14,8,1,4,3,4,3,0,2,3,0,0,3,0,0,1,0.7499981250046875,High
22,0,21,56,6,5,2,2,1,4,1,4,1,1,1,3,0,0,0,0.9999950000249999,Medium
21,0,58,42,10,3,3,1,1,4,1,3,1,1,1,2,0,0,1,0.3333322222259259,Low
29,1,41,14,4,4,2,5,4,5,1,5,1,1,1,3,0,0,1,2.4999875000625,High
26,0,40,49,9,6,3,5,2,2,0,2,4,1,0,1,0,1,0,1.6666611111296294,High
26,3,35,49,7,6,1,3,3,3,1,1,1,0,0,2,0,0,0,2.9999700002999967,Medium
22,1,40,21,8,1,4,1,1,2,1,4,2,0,0,2,1,0,0,0.24999937500156252,High
18,1,0,21,11,7,5,5,2,2,0,2,3,0,0,3,1,0,0,0.9999980000040001,Medium
19,4,14,21,7,1,1,4,2,4,1,5,4,1,0,1,0,0,1,3.9999600003999958,High
20,3,37,49,10,2,2,2,4,1,0,4,4,0,1,4,0,0,1,0.9999950000249999,Medium
27,2,17,0,12,9,1,4,2,5,0,2,4,1,0,5,0,0,1,3.9999600003999958,Medium
26,1,33,56,5,6,1,3,2,3,0,2,2,1,1,2,0,0,0,2.9999700002999967,Low
29,3,7,14,8,0,2,5,2,1,0,4,1,0,1,1,0,0,0,2.4999875000625,Low
20,3,8,0,10,9,2,2,5,1,1,2,1,1,1,2,1,0,0,0.9999950000249999,Low
18,1,54,42,5,3,2,1,5,2,0,4,2,0,1,1,0,0,1,0.49999750001249993,High
18,3,53,42,7,8,5,1,1,2,1,4,3,0,1,5,0,1,0,0.19999960000080003,Low
21,3,49,35,10,6,4,1,3,5,0,2,4,1,0,3,0,0,1,0.24999937500156252,Low
27,4,6,35,6,9,1,2,1,5,0,2,4,0,1,3,1,0,0,1.9999800001999979,Low
27,2,37,0,12,5,4,1,1,1,0,2,2,1,0,1,0,1,0,0.24999937500156252,Low
23,3,34,14,4,9,4,3,5,2,1,4,4,1,1,5,0,0,1,0.7499981250046875,Low
28,0,10,56,7,0,1,4,5,2,1,4,1,1,0,1,1,0,0,3.9999600003999958,High
18,2,28,35,8,0,5,5,1,5,0,1,5,1,0,4,1,0,0,0.9999980000040001,Medium
